"","group","species","area"
"2","Bertolonia","./map_Bertolonia_acuminata .asc","59977.3222361262"
"3","Bertolonia","./map_Bertolonia_alternifolia_T3161 .asc","327.458128625271"
"4","Bertolonia","./map_Bertolonia_angustipetala_T3168 .asc","82.4546732198013"
"5","Bertolonia","./map_Bertolonia_bullata_T3160 .asc","3847.78966475244"
"6","Bertolonia","./map_Bertolonia_carmoi_T3169 .asc","24169.9053532687"
"7","Bertolonia","./map_Bertolonia_cf_ovata_T3171 .asc","81.279601351038"
"8","Bertolonia","./map_Bertolonia_ciliataW_T3184 .asc","4435.56291634419"
"9","Bertolonia","./map_Bertolonia_cordifolia_T3175 .asc","82.1904169571567"
"10","Bertolonia","./map_Bertolonia_cuspidata_T3181 .asc","5823.3547599588"
"11","Bertolonia","./map_Bertolonia_duasbocaensis_T3212 .asc","79.5800164928058"
"12","Bertolonia","./map_Bertolonia_formosa_T3166 .asc","79.3663677849241"
"13","Bertolonia","./map_Bertolonia_foveolata_T3165 .asc","79.3663677849241"
"14","Bertolonia","./map_Bertolonia_hirsutissima_T3183 .asc","82.4259991516883"
"15","Bertolonia","./map_Bertolonia_kollmannii_T3188 .asc","1792.68080331731"
"16","Bertolonia","./map_Bertolonia_leuzeana_T3174 .asc","3996.10284671762"
"17","Bertolonia","./map_Bertolonia_linearifolia_T3187 .asc","2146.65575429299"
"18","Bertolonia","./map_Bertolonia_lontras_T3185 .asc","409.306694142719"
"19","Bertolonia","./map_Bertolonia_macrocalyx_T3215 .asc","79.5800164928058"
"20","Bertolonia","./map_Bertolonia_maculata .asc","95922.4175862299"
"21","Bertolonia","./map_Bertolonia_margaritacea_T1730 .asc","31949.3979532771"
"22","Bertolonia","./map_Bertolonia_marmorata .asc","36251.7070093056"
"23","Bertolonia","./map_Bertolonia_mestrealvaro_T3314 .asc","159.244494655892"
"24","Bertolonia","./map_Bertolonia_michelangeliana_T3216 .asc","3916.87105870773"
"25","Bertolonia","./map_Bertolonia_mosenii .asc","120944.195223888"
